LineID;PatternID;StopSeqCount;StopID;Direction
105;10;30;1020;2
105;10;32;1022;2
105;10;33;1000;2
105;11;0;345;1
105;11;2;346;1
105;11;3;347;1
105;11;4;348;1
105;11;5;349;1
105;11;7;350;1
105;11;8;351;1
105;11;9;352;1
105;11;10;353;1
105;11;12;354;1
105;11;13;211;1
105;11;14;355;1
105;11;15;356;1
105;11;17;357;1
105;11;18;358;1
105;11;19;359;1
105;11;20;272;1
105;11;21;365;1
105;12;0;6403;2
105;12;4;2194;2
105;12;5;2195;2
105;12;6;2196;2
105;12;7;387;2
105;12;8;388;2
105;12;10;389;2
105;12;11;390;2
105;12;12;328;2
105;12;13;1019;2
105;12;14;1020;2
105;12;16;1022;2
105;12;17;1000;2
105;13;0;345;1
105;13;2;346;1
105;13;3;347;1
105;13;4;348;1
105;13;5;349;1
105;13;7;350;1
105;13;8;351;1
105;13;9;352;1
105;13;10;353;1
105;13;12;354;1
105;13;13;211;1
105;13;14;355;1
105;13;15;356;1
105;13;17;357;1
105;13;18;358;1
105;13;19;359;1
105;13;20;272;1
105;13;21;365;1
105;13;22;458;1
105;13;24;360;1
105;13;25;366;1
105;13;26;361;1
105;13;27;362;1
105;13;29;363;1
105;13;30;368;1
105;13;31;370;1
105;14;0;370;2
105;14;2;364;2
105;14;3;373;2
105;14;4;374;2
105;14;5;375;2
105;14;6;367;2
105;14;8;376;2
105;14;9;377;2
105;14;10;250;2
105;14;12;378;2
105;14;13;379;2
105;14;15;380;2
105;14;16;381;2
105;14;17;382;2
105;14;18;383;2
105;14;20;384;2
105;14;21;385;2
105;14;22;386;2
105;14;23;2165;2
105;14;24;2166;2
105;14;25;6403;2
105;15;0;345;1
105;15;2;312;1
105;15;3;313;1
105;15;5;3199;1
105;15;6;348;1
105;15;7;349;1
105;15;9;350;1
105;15;10;351;1
105;15;11;352;1
105;15;12;353;1
105;15;14;354;1
105;15;15;211;1
105;15;16;355;1
105;15;17;356;1
105;15;19;357;1
105;15;20;358;1
105;15;21;359;1
105;15;22;272;1
105;15;23;360;1
105;15;24;366;1
105;15;25;361;1
105;15;26;362;1
105;15;28;363;1
105;15;29;368;1
105;15;30;370;1
105;16;0;6403;2
105;16;4;2194;2
105;16;5;2195;2
105;16;6;2196;2
105;16;7;387;2
105;16;8;4703;2
105;17;0;345;1
105;17;2;346;1
105;17;3;347;1
105;17;4;348;1
105;17;5;349;1
105;17;7;350;1
105;17;8;351;1
105;17;9;2165;1
105;17;10;2166;1
105;17;11;6403;1
105;18;0;370;2
105;18;2;364;2
105;18;3;373;2
105;18;4;374;2
105;18;5;375;2
105;18;6;367;2
105;18;8;376;2
105;18;9;365;2
105;18;10;458;2
105;18;12;250;2
105;18;14;378;2
