StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
533;60200440;Guntherstraße;Wien;49000001;16.3269162;48.2027635
535;60201413;Urban-Loritz-Platz;Wien;49000001;16.3371121;48.2006680
541;60201413;Urban-Loritz-Platz;Wien;49000001;16.3377140;48.2005782
543;60200440;Guntherstraße;Wien;49000001;16.3266916;48.2020690
544;60200197;Camillo-Sitte-Gasse;Wien;49000001;16.3273294;48.2047992
545;60200704;Panikengasse;Wien;49000001;16.3243021;48.2077327
546;60201374;Feßtgasse;Wien;49000001;16.3251645;48.2102291
547;60200602;Johann-Nepomuk-Berger-Platz;Wien;49000001;16.3253262;48.2129109
548;60200602;Johann-Nepomuk-Berger-Platz;Wien;49000001;16.3266018;48.2140363
549;60201115;Rosensteingasse;Wien;49000001;16.3275271;48.2186512
556;60200602;Johann-Nepomuk-Berger-Platz;Wien;49000001;16.3255238;48.2134497
564;60201489;Rankgasse;Wien;49000001;16.3056531;48.2111929
565;60200597;Joachimsthalerplatz;Wien;49000001;16.3051141;48.2093371
571;60201158;Linzer Straße;Wien;49000001;16.3147710;48.1927339
578;60201158;Linzer Straße;Wien;49000001;16.3147890;48.1927998
579;60201084;Reinlgasse;Wien;49000001;16.3118874;48.1932489
585;60201489;Rankgasse;Wien;49000001;16.3054824;48.2106960
586;60200840;Maroltingergasse;Wien;49000001;16.3065424;48.2131563
1000;60201198;Schwedenplatz U;Wien;49000001;16.3777968;48.2116478
1001;60200659;Karmeliterplatz;Wien;49000001;16.3803480;48.2154968
1002;60201891;Taborstraße U;Wien;49000001;16.3809050;48.2187410
1003;60200494;Heinestraße, Taborstraße;Wien;49000001;16.3822614;48.2219431
1019;60201891;Taborstraße U;Wien;49000001;16.3808601;48.2192617
1020;60200659;Karmeliterplatz;Wien;49000001;16.3804019;48.2159817
1022;60200838;Marienbrücke;Wien;49000001;16.3774195;48.2131803
1212;60201184;Schottentor U;Wien;49000001;16.3619236;48.2140183
1213;60201197;Schwarzspanierstraße;Wien;49000001;16.3594532;48.2170950
1347;60202912;Zimmermannplatz;Wien;49000001;16.3428703;48.2165024
1386;60200597;Joachimsthalerplatz;Wien;49000001;16.3044494;48.2089420
1387;60200981;Ottakring S U;Wien;49000001;16.3117077;48.2125877
1446;60200458;Beingasse;Wien;49000001;16.3325487;48.1995244
1447;60201200;Schweglerstraße U;Wien;49000001;16.3289734;48.1985364
1448;60200556;Huglgasse;Wien;49000001;16.3252813;48.1978418
1449;60200606;Johnstraße U;Wien;49000001;16.3194961;48.1990753
1450;60201035;Hütteldorfer Straße U;Wien;49000001;16.3118335;48.1990513
1452;60200166;Breitensee S;Wien;49000001;16.3064885;48.1989076
1453;60200780;Leyserstraße;Wien;49000001;16.3028953;48.1982430
1454;60200472;Hütteldorfer Straße /  Lützowgasse;Wien;49000001;16.2951967;48.1973149
1455;60201014;Seckendorfstraße;Wien;49000001;16.2874532;48.1968897
1456;60201438;Waidhausenstraße;Wien;49000001;16.2810482;48.1976203
1457;60200534;Hochsatzengasse;Wien;49000001;16.2778323;48.1979915
1458;60200358;Baumgarten;Wien;49000001;16.2722987;48.1989555
1465;60200358;Baumgarten;Wien;49000001;16.2712386;48.1990633
1466;60200534;Hochsatzengasse;Wien;49000001;16.2770507;48.1979915
1467;60201438;Waidhausenstraße;Wien;49000001;16.2802398;48.1975604
1468;60201014;Seckendorfstraße;Wien;49000001;16.2867885;48.1968418
1469;60200472;Lützowgasse;Wien;49000001;16.2946128;48.1971831
1470;60200780;Leyserstraße;Wien;49000001;16.3018802;48.1979915
1471;60200166;Breitensee S;Wien;49000001;16.3064616;48.1988238
1472;60201035;Hütteldorfer Straße U;Wien;49000001;16.3118335;48.1989555
1473;60200606;Johnstraße U;Wien;49000001;16.3194782;48.1990214
1474;60200556;Huglgasse;Wien;49000001;16.3251915;48.1978179
1475;60201200;Schweglerstraße U;Wien;49000001;16.3290183;48.1984645
1476;60200458;Beingasse;Wien;49000001;16.3318570;48.1992489
1531;60201468;Westbahnhof S U;Wien;49000001;16.3391872;48.1965364
1532;60201306;Staglgasse;Wien;49000001;16.3355939;48.1944346
1533;60200712;Geibelgasse;Wien;49000001;16.3319378;48.1917818
1534;60201132;Rustengasse;Wien;49000001;16.3276798;48.1914045
1535;60200067;Rudolfsheim, Anschützgasse;Wien;49000001;16.3233679;48.1904523
1536;60201493;Winckelmannstraße;Wien;49000001;16.3206999;48.1900990
1537;60201005;Penzinger Straße;Wien;49000001;16.3157142;48.1902786
1538;60200302;Diesterweggasse;Wien;49000001;16.3067311;48.1937939
1539;60200055;Ameisgasse;Wien;49000001;16.2999218;48.1938418
1540;60200819;Lützowgasse;Wien;49000001;16.2958884;48.1943987
1541;60200442;Gusenleithnergasse;Wien;49000001;16.2903009;48.1946203
1542;60201517;Zehetnergasse;Wien;49000001;16.2863663;48.1946203
1543;60200434;Gruschaplatz;Wien;49000001;16.2831773;48.1953029
1544;60200113;Linzer Straße, Hochsatzengasse;Wien;49000001;16.2774011;48.1966382
1545;60200358;Baumgarten;Wien;49000001;16.2719393;48.1988058
1548;60201566;Westbahnhof S U, Gerstnerstraße;Wien;49000001;16.3381452;48.1954706
1549;60201566;Westbahnhof S U, Gerstnerstraße;Wien;49000001;16.3381991;48.1953628
1551;60200113;Linzer Straße, Hochsatzengasse;Wien;49000001;16.2766016;48.1969975
1552;60200434;Gruschaplatz;Wien;49000001;16.2831323;48.1952251
1553;60201517;Zehetnergasse;Wien;49000001;16.2859081;48.1945664
1554;60200442;Gusenleithnergasse;Wien;49000001;16.2897260;48.1946143
1555;60200819;Lützowgasse;Wien;49000001;16.2951518;48.1943208
1556;60200055;Ameisgasse;Wien;49000001;16.2990684;48.1939376
1557;60200302;Diesterweggasse;Wien;49000001;16.3055723;48.1937400
1558;60201084;Reinlgasse;Wien;49000001;16.3110699;48.1933088
1559;60200067;Rudolfsheim, Anschützgasse;Wien;49000001;16.3227031;48.1902247
1560;60201132;Rustengasse;Wien;49000001;16.3272845;48.1913147
1561;60200712;Geibelgasse;Wien;49000001;16.3319917;48.1917339
1562;60201306;Staglgasse;Wien;49000001;16.3348663;48.1939017
2157;60201667;Jägerstraße U;Wien;49000001;16.3702150;48.2353357
2158;60200235;Floridsdorfer Brücke;Wien;49000001;16.3876693;48.2484617
2159;60200235;Floridsdorfer Brücke;Wien;49000001;16.3880825;48.2487429
2165;60200389;Gerhardusgasse;Wien;49000001;16.3665858;48.2313925
2166;60201470;Wexstraße;Wien;49000001;16.3662984;48.2359281
2167;60201667;Jägerstraße U;Wien;49000001;16.3698198;48.2361794
2168;60200569;Höchstädtplatz;Wien;49000001;16.3764673;48.2389795
2169;60200363;Friedrich-Engels-Platz;Wien;49000001;16.3797282;48.2442144
2170;60200554;Hubertusdamm;Wien;49000001;16.3921339;48.2505912
2171;60200848;Matthäus-Jiszda-Straße;Wien;49000001;16.3949906;48.2537315
2172;60200334;Floridsdorf S U;Wien;49000001;16.3996169;48.2571706
2189;60200334;Floridsdorf S U;Wien;49000001;16.3994552;48.2572185
2190;60200848;Matthäus-Jiszda-Straße;Wien;49000001;16.3949007;48.2538212
2191;60200554;Hubertusdamm;Wien;49000001;16.3920441;48.2506331
2193;60201667;Jägerstraße U;Wien;49000001;16.3697389;48.2362452
2194;60201470;Wexstraße;Wien;49000001;16.3657684;48.2360119
2195;60200389;Gerhardusgasse;Wien;49000001;16.3661367;48.2320328
2196;60201444;Klosterneuburger Str. / Wallensteinstr.;Wien;49000001;16.3680591;48.2288912
2203;60200170;Brigittaplatz;Wien;49000001;16.3704306;48.2325055
2204;60201667;Jägerstraße U;Wien;49000001;16.3703138;48.2353238
2205;60201186;Floridsdorfer Markt;Wien;49000001;16.4001559;48.2616979
2223;60200170;Brigittaplatz;Wien;49000001;16.3702240;48.2330381
2224;60201443;Wallensteinplatz;Wien;49000001;16.3709247;48.2301778
3199;60200051;Am Tabor;Wien;49000001;16.3834652;48.2248098
3445;60201918;Krakauer Straße;Wien;49000001;16.3932029;48.2245824
3446;60201919;Bruno-Marek-Allee;Wien;49000001;16.3943348;48.2282030
